Trade ID;Pfolio Code;type securities;sec name;securities name;type;trade date;settlement date;amount;curr;delete;;system;sec name;SID;remarks;
350122;15DAP2;OS;MEDC    ;MEDCO ENERGI INTERNATIONAL TbK                              ;P;30-Oct-23;01-Nov-23;1.000.000.000;IDR;N;              ;CBEST               ;MEDC                ;BDMN2DAP200151      ;RVP MEDC                                                                                                      ;
350133;15YKP4;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;S;30-Oct-23;01-Nov-23;45.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2YKP400145      ;DVP CASA                                                                                                      ;
350127;15YKP4;OS;STAR    ;STAR PETROCHEM TBK                                          ;P;30-Oct-23;01-Nov-23;225.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2YKP400145      ;RVP STAR                                                                                                      ;
350134;21BNIS;OS;MYOR    ;MAYORA INDAH TBK                                            ;P;30-Oct-23;01-Nov-23;13.489.000.000;IDR;N;              ;CBEST               ;MYOR                ;BDMN2BNIS00161      ;RVP MYOR                                                                                                      ;
350132;21PEFF;OS;NIRO    ;NIRVANA DEVELOPMENT TBK                                     ;S;30-Oct-23;01-Nov-23;50.000.000.000;IDR;N;              ;CBEST               ;NIRO                ;BDMN2PEFF00166      ;DVP NIRO                                                                                                      ;
350125;21PEFF;OS;STAR    ;STAR PETROCHEM TBK                                          ;P;30-Oct-23;01-Nov-23;60.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2PEFF00166      ;RVP STAR                                                                                                      ;
350128;21SEDS;OS;SIDO    ;SIDO MUNCUL Tbk                                             ;P;30-Oct-23;01-Nov-23;1.000.000.000;IDR;N;              ;CBEST               ;SIDO                ;BDMN2SEDS00187      ;RVP SIDO                                                                                                      ;
350123;21VPEF;OS;BPTR    ;BATAVIA PROSPERINDO TRANS Tbk PT                            ;P;30-Oct-23;01-Nov-23;12.500.000.000;IDR;N;              ;CBEST               ;BPTR                ;BDMN2VPEF00146      ;RVP BPTR                                                                                                      ;
350126;22MAMS;OS;PGAS    ;PERUSAHAAN GAS NEGARA (PERSERO) Tbk                         ;P;30-Oct-23;01-Nov-23;100.000.000;IDR;N;              ;CBEST               ;PGAS                ;BDMN2MAMS00101      ;RVP PGAS                                                                                                      ;
350129;22SEDM;OS;SIDO    ;SIDO MUNCUL Tbk                                             ;P;30-Oct-23;01-Nov-23;500.000.000;IDR;N;              ;CBEST               ;SIDO                ;BDMN2SEDM00104      ;RVP SIDO                                                                                                      ;
